"Rank","Player","Team","Position","Points","Games","Avg"
"1","Christian Kirk","ARI","WR","34.8","1","34.8"
"2","Lamar Jackson","BAL","QB","33.4","1","33.4"
"3","Derrick Henry","TEN","RB","32.1","1","32.1"
"4","Daniel Jones","NYG","QB","30.3","1","30.3"
"5","Patrick Mahomes","KC","QB","29.8","1","29.8"
"6","Darius Slayton","NYG","WR","29.1","1","29.1"
"7","Dalvin Cook","MIN","RB","27.8","1","27.8"
"7","Kyler Murray","ARI","QB","27.8","1","27.8"
"9","Tyreek Hill","KC","WR","27.5","1","27.5"
"10","Aaron Jones","GB","RB","27.3","1","27.3"
"11","Dak Prescott","DAL","QB","26.9","1","26.9"
"12","Amari Cooper","DAL","WR","26.2","1","26.2"
"13","Josh Allen","BUF","QB","25.4","1","25.4"
"14","Pittsburgh Steelers","PIT","DST","25.0","1","25.0"
"15","Baltimore Ravens","BAL","DST","24.0","1","24.0"
"16","Christian McCaffrey","CAR","RB","23.1","1","23.1"
"17","Michael Thomas","NO","WR","21.7","1","21.7"
"17","Sam Darnold","NYJ","QB","21.7","1","21.7"
"19","Golden Tate","NYG","WR","21.5","1","21.5"
"20","Mark Andrews","BAL","TE","20.3","1","20.3"
"20","Jameis Winston","NO","QB","20.3","1","20.3"
"22","Jarvis Landry","CLE","WR","20.2","1","20.2"
"23","Melvin Gordon","DEN","RB","19.8","1","19.8"
"24","Mitch Trubisky","CHI","QB","19.7","1","19.7"
"25","Randall Cobb","HOU","WR","19.6","1","19.6"
"26","Kirk Cousins","MIN","QB","19.3","1","19.3"
"27","San Francisco 49ers","SF","DST","19.0","1","19.0"
"27","Los Angeles Rams","LAR","DST","19.0","1","19.0"
"29","Ryan Tannehill","TEN","QB","18.9","1","18.9"
"30","Jeff Driskel","DEN","QB","18.6","1","18.6"
"30","Ronald Jones II","TB","RB","18.6","1","18.6"
"32","Seattle Seahawks","SEA","DST","18.0","1","18.0"
"33","Josh Jacobs","LV","RB","17.6","1","17.6"
"33","Baker Mayfield","CLE","QB","17.6","1","17.6"
"33","Chris Carson","SEA","RB","17.6","1","17.6"
"33","Russell Wilson","SEA","QB","17.6","1","17.6"
"37","Kyle Rudolph","MIN","TE","17.4","1","17.4"
"38","Travis Kelce","KC","TE","17.0","1","17.0"
"38","Las Vegas Raiders","LV","DST","17.0","1","17.0"
"40","Jamison Crowder","NYJ","WR","16.6","1","16.6"
"41","D.J. Moore","CAR","WR","16.5","1","16.5"
