"Rank","Player","Team","Position","Points","Games","Avg"
"1","Kenyan Drake","ARI","RB","39.1","1","39.1"
"2","Lamar Jackson","BAL","QB","37.1","1","37.1"
"3","Jameis Winston","NO","QB","33.7","1","33.7"
"4","Christian McCaffrey","CAR","RB","33.5","1","33.5"
"5","Miles Sanders","PHI","RB","32.2","1","32.2"
"6","Breshad Perriman","NYJ","WR","32.1","1","32.1"
"7","Julio Jones","ATL","WR","31.9","1","31.9"
"8","Ezekiel Elliott","DAL","RB","29.5","1","29.5"
"9","Drew Brees","NO","QB","28.3","1","28.3"
"9","Saquon Barkley","NYG","RB","28.3","1","28.3"
"11","Minnesota Vikings","MIN","DST","27.0","1","27.0"
"12","Chris Carson","SEA","RB","26.2","1","26.2"
"13","Ryan Tannehill","TEN","QB","25.2","1","25.2"
"14","Michael Thomas","NO","WR","24.8","1","24.8"
"15","Jamison Crowder","NYJ","WR","24.0","1","24.0"
"16","Patrick Mahomes","KC","QB","23.7","1","23.7"
"17","Mark Ingram II","BAL","RB","23.1","1","23.1"
"18","Anthony Miller","CHI","WR","22.3","1","22.3"
"18","Nick Chubb","CLE","RB","22.3","1","22.3"
"20","Tyler Lockett","SEA","WR","22.0","1","22.0"
"21","Carson Wentz","PHI","QB","21.5","1","21.5"
"21","Terry McLaurin","WAS","WR","21.5","1","21.5"
"23","A.J. Brown","TEN","WR","21.4","1","21.4"
"24","Tony Pollard","DAL","RB","21.3","1","21.3"
"24","Tyreek Hill","KC","WR","21.3","1","21.3"
"26","DeVante Parker","MIA","WR","21.2","1","21.2"
"27","Ryan Fitzpatrick","MIA","QB","20.5","1","20.5"
"28","New England Patriots","NE","DST","20.0","1","20.0"
"29","George Kittle","SF","TE","19.9","1","19.9"
"30","Davante Adams","GB","WR","19.8","1","19.8"
"31","Travis Kelce","KC","TE","19.7","1","19.7"
"32","Russell Wilson","SEA","QB","19.3","1","19.3"
"32","Todd Gurley","ATL","RB","19.3","1","19.3"
"34","Matt Ryan","ATL","QB","19.1","1","19.1"
"35","Dwayne Haskins","WAS","QB","19.0","1","19.0"
"36","Chris Conley","JAC","WR","18.9","1","18.9"
"36","Deshaun Watson","HOU","QB","18.9","1","18.9"
"38","Gardner Minshew II","JAC","QB","18.7","1","18.7"
"39","Jared Goff","LAR","QB","18.6","1","18.6"
"40","Mitch Trubisky","CHI","QB","18.3","1","18.3"
"41","Kai Forbath","DAL","K","18.0","1","18.0"
"41","Baker Mayfield","CLE","QB","18.0","1","18.0"
"41","Buffalo Bills","BUF","DST","18.0","1","18.0"
"44","Dak Prescott","DAL","QB","17.7","1","17.7"
"45","Mike Boone","MIN","RB","17.6","1","17.6"
