"Rank","Player","Team","Position","Points","Games","Avg"
"1","Aaron Jones","GB","RB","38.1","1","38.1"
"2","Mike Evans","TB","WR","37.3","1","37.3"
"3","Tevin Coleman","SF","RB","36.8","1","36.8"
"4","Latavius Murray","NO","RB","32.2","1","32.2"
"5","Cooper Kupp","LAR","WR","31.5","1","31.5"
"6","Daniel Jones","NYG","QB","28.2","1","28.2"
"7","Deshaun Watson","HOU","QB","27.8","1","27.8"
"8","Aaron Rodgers","GB","QB","27.1","1","27.1"
"9","Drew Brees","NO","QB","25.9","1","25.9"
"10","Dalvin Cook","MIN","RB","25.6","1","25.6"
"11","Christian McCaffrey","CAR","RB","25.5","1","25.5"
"12","Kenny Golladay","DET","WR","25.3","1","25.3"
"13","Matthew Stafford","DET","QB","24.4","1","24.4"
"14","Saquon Barkley","NYG","RB","24.3","1","24.3"
"15","Gardner Minshew II","JAC","QB","24.0","1","24.0"
"16","Julian Edelman","NE","WR","23.5","1","23.5"
"17","Derek Carr","LV","QB","23.4","1","23.4"
"18","Jared Goff","LAR","QB","22.9","1","22.9"
"19","David Montgomery","CHI","RB","22.7","1","22.7"
"20","Ryan Griffin","NYJ","TE","22.6","1","22.6"
"21","James Conner","PIT","RB","22.5","1","22.5"
"22","Michael Thomas","NO","WR","21.8","1","21.8"
"23","Matt Schaub","ATL","QB","21.4","1","21.4"
"24","Jameis Winston","NO","QB","21.3","1","21.3"
"24","Miles Sanders","PHI","RB","21.3","1","21.3"
"26","New England Patriots","NE","DST","21.0","1","21.0"
"27","Darren Fells","HOU","TE","20.8","1","20.8"
"28","Julio Jones","ATL","WR","20.2","1","20.2"
"29","Ryan Tannehill","TEN","QB","19.4","1","19.4"
"30","Matt Moore","FA","QB","19.0","1","19.0"
"31","JuJu Smith-Schuster","PIT","WR","18.8","1","18.8"
"32","Tom Brady","TB","QB","18.4","1","18.4"
"33","Chris Conley","JAC","WR","18.3","1","18.3"
"34","Darius Slayton","NYG","WR","18.0","1","18.0"
"35","Andy Dalton","DAL","QB","17.7","1","17.7"
"36","Jordan Howard","MIA","RB","17.6","1","17.6"
"37","Josh Allen","BUF","QB","17.3","1","17.3"
"38","Jamaal Williams","GB","RB","17.1","1","17.1"
"38","Leonard Fournette","JAC","RB","17.1","1","17.1"
"40","San Francisco 49ers","SF","DST","17.0","1","17.0"
"40","Mason Rudolph","PIT","QB","17.0","1","17.0"
"42","D.J. Chark","JAC","WR","16.9","1","16.9"
"42","Diontae Johnson","PIT","WR","16.9","1","16.9"
"44","Hunter Renfrow","LV","WR","16.8","1","16.8"
"44","Jonnu Smith","TEN","TE","16.8","1","16.8"
"46","Tyrell Williams","LV","WR","16.6","1","16.6"
"47","DeAndre Hopkins","ARI","WR","16.4","1","16.4"
"48","Dan Bailey","MIN","K","16.0","1","16.0"
"49","Stefon Diggs","BUF","WR","15.8","1","15.8"
"50","Joe Mixon","CIN","RB","15.7","1","15.7"
"50","Russell Wilson","SEA","QB","15.7","1","15.7"
"52","Sam Darnold","NYJ","QB","15.6","1","15.6"
"53","Austin Hooper","CLE","TE","15.5","1","15.5"
"53","Marlon Mack","IND","RB","15.5","1","15.5"
"55","Chris Carson","SEA","RB","15.0","1","15.0"
"55","Jacksonville Jaguars","JAC","DST","15.0","1","15.0"
"57","D.K. Metcalf","SEA","WR","14.8","1","14.8"
"58","Josh Reynolds","LAR","WR","14.7","1","14.7"
"59","Carson Wentz","PHI","QB","14.4","1","14.4"
"60","Travis Kelce","KC","TE","14.3","1","14.3"
"61","Adam Vinatieri","FA","K","14.0","1","14.0"
"61","Jimmy Garoppolo","SF","QB","14.0","1","14.0"
"63","Christian Kirk","ARI","WR","13.8","1","13.8"
"63","Taysom Hill","NO","QB","13.8","1","13.8"
"65","Danny Amendola","DET","WR","13.5","1","13.5"
"66","Ryan Fitzpatrick","MIA","QB","13.3","1","13.3"
"67","Tyler Lockett","SEA","WR","13.0","1","13.0"
"67","Pittsburgh Steelers","PIT","DST","13.0","1","13.0"
"69","Devin Singletary","BUF","RB","12.9","1","12.9"
"70","Alex Erickson","CIN","WR","12.7","1","12.7"
"71","Baker Mayfield","CLE","QB","12.6","1","12.6"
"72","Golden Tate","NYG","WR","12.5","1","12.5"
"72","Mecole Hardman","KC","WR","12.5","1","12.5"
"74","Deebo Samuel","SF","WR","12.3","1","12.3"
"75","Devonta Freeman","FA","RB","12.2","1","12.2"
"76","Evan Engram","NYG","TE","12.0","1","12.0"
"76","Jason Myers","SEA","K","12.0","1","12.0"
"76","Josh Lambo","JAC","K","12.0","1","12.0"
"76","Cody Parkey","FA","K","12.0","1","12.0"
"76","Raheem Mostert","SF","RB","12.0","1","12.0"
