"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derrick Henry","TEN","RB","39.1","1","39.1"
"2","Boston Scott","PHI","RB","33.8","1","33.8"
"3","Michael Gallup","DAL","WR","30.3","1","30.3"
"4","Joe Mixon","CIN","RB","30.1","1","30.1"
"5","Dak Prescott","DAL","QB","29.6","1","29.6"
"6","Damien Williams","KC","RB","29.4","1","29.4"
"7","Ezekiel Elliott","DAL","RB","25.9","1","25.9"
"8","Gardner Minshew II","JAC","QB","25.5","1","25.5"
"9","Jared Goff","LAR","QB","25.2","1","25.2"
"10","Ryan Fitzpatrick","MIA","QB","24.3","1","24.3"
"11","Baker Mayfield","CLE","QB","23.1","1","23.1"
"12","Mike Boone","MIN","RB","23.0","1","23.0"
"13","Deebo Samuel","SF","WR","22.0","1","22.0"
"13","Drew Brees","NO","QB","22.0","1","22.0"
"15","Breshad Perriman","NYJ","WR","21.9","1","21.9"
"16","Melvin Gordon","DEN","RB","21.2","1","21.2"
"17","A.J. Brown","TEN","WR","20.4","1","20.4"
"18","Russell Wilson","SEA","QB","20.2","1","20.2"
"19","Aaron Rodgers","GB","QB","20.0","1","20.0"
"19","Kai Forbath","DAL","K","20.0","1","20.0"
"21","Raheem Mostert","SF","RB","19.8","1","19.8"
"22","Marlon Mack","IND","RB","19.7","1","19.7"
"23","Derek Carr","LV","QB","19.6","1","19.6"
"24","Cooper Kupp","LAR","WR","19.4","1","19.4"
"25","Christian McCaffrey","CAR","RB","19.3","1","19.3"
"26","Hunter Renfrow","LV","WR","19.2","1","19.2"
"26","Saquon Barkley","NYG","RB","19.2","1","19.2"
"28","Davante Adams","GB","WR","18.8","1","18.8"
"29","Keenan Allen","LAC","WR","18.7","1","18.7"
"29","Alvin Kamara","NO","RB","18.7","1","18.7"
"29","Dede Westbrook","JAC","WR","18.7","1","18.7"
"32","Tyler Higbee","LAR","TE","18.4","1","18.4"
"33","Younghoe Koo","ATL","K","18.0","1","18.0"
"33","Baltimore Ravens","BAL","DST","18.0","1","18.0"
"33","New Orleans Saints","NO","DST","18.0","1","18.0"
"36","AJ McCarron","HOU","QB","17.9","1","17.9"
"36","Ryan Tannehill","TEN","QB","17.9","1","17.9"
"38","DeVante Parker","MIA","WR","17.7","1","17.7"
"38","Philip Rivers","IND","QB","17.7","1","17.7"
"40","Andy Dalton","DAL","QB","17.6","1","17.6"
"41","David Montgomery","CHI","RB","17.3","1","17.3"
"42","DeAndre Washington","KC","RB","17.2","1","17.2"
"43","Robert Woods","LAR","WR","17.1","1","17.1"
"43","Carson Wentz","PHI","QB","17.1","1","17.1"
"43","D.K. Metcalf","SEA","WR","17.1","1","17.1"
"46","Justin Tucker","BAL","K","17.0","1","17.0"
"46","Ryquell Armstead","JAC","RB","17.0","1","17.0"
"48","Jamison Crowder","NYJ","WR","16.6","1","16.6"
"49","Jameis Winston","NO","QB","16.5","1","16.5"
"50","Josh Lambo","JAC","K","16.0","1","16.0"
"50","Steven Sims","WAS","WR","16.0","1","16.0"
"52","Kenyan Drake","ARI","RB","15.8","1","15.8"
"52","Tom Brady","TB","QB","15.8","1","15.8"
"54","Dan Arnold","ARI","TE","15.6","1","15.6"
"54","Odell Beckham Jr.","CLE","WR","15.6","1","15.6"
"54","Daniel Jones","NYG","QB","15.6","1","15.6"
