"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","33.8","1","33.8"
"2","Lamar Jackson","BAL","QB","32.8","1","32.8"
"3","Jimmy Garoppolo","SF","QB","31.7","1","31.7"
"4","Dak Prescott","DAL","QB","31.6","1","31.6"
"5","John Brown","BUF","WR","30.2","1","30.2"
"6","Jeff Driskel","DEN","QB","27.5","1","27.5"
"7","Kyler Murray","ARI","QB","26.7","1","26.7"
"8","Sam Darnold","NYJ","QB","26.4","1","26.4"
"8","D.J. Chark","JAC","WR","26.4","1","26.4"
"10","Christian McCaffrey","CAR","RB","24.6","1","24.6"
"11","Calvin Ridley","ATL","WR","24.3","1","24.3"
"12","Kirk Cousins","MIN","QB","22.9","1","22.9"
"13","Mark Ingram II","BAL","RB","22.0","1","22.0"
"14","Baker Mayfield","CLE","QB","21.8","1","21.8"
"15","Michael Thomas","NO","WR","21.4","1","21.4"
"16","Drew Brees","NO","QB","21.1","1","21.1"
"17","Derek Carr","LV","QB","20.8","1","20.8"
"18","Stefon Diggs","BUF","WR","20.6","1","20.6"
"19","Atlanta Falcons","ATL","DST","20.0","1","20.0"
"20","Randall Cobb","HOU","WR","19.5","1","19.5"
"21","Ryan Griffin","NYJ","TE","19.4","1","19.4"
"22","Michael Gallup","DAL","WR","19.3","1","19.3"
"23","Nick Foles","CHI","QB","18.8","1","18.8"
"23","Jameis Winston","NO","QB","18.8","1","18.8"
"23","Todd Gurley","ATL","RB","18.8","1","18.8"
"26","Travis Kelce","KC","TE","18.7","1","18.7"
"27","Ezekiel Elliott","DAL","RB","18.3","1","18.3"
"28","Dwayne Haskins","WAS","QB","18.1","1","18.1"
"29","Marvin Jones","DET","WR","17.9","1","17.9"
"30","Deebo Samuel","SF","WR","17.4","1","17.4"
"30","Jakeem Grant","MIA","WR","17.4","1","17.4"
"32","Alvin Kamara","NO","RB","17.2","1","17.2"
"32","Austin Ekeler","LAC","RB","17.2","1","17.2"
"32","Gus Edwards","BAL","RB","17.2","1","17.2"
"35","Keenan Allen","LAC","WR","17.1","1","17.1"
"36","DeVante Parker","MIA","WR","17.0","1","17.0"
"36","New Orleans Saints","NO","DST","17.0","1","17.0"
"38","Marlon Mack","IND","RB","16.9","1","16.9"
"39","Joe Mixon","CIN","RB","16.8","1","16.8"
"40","Matt Ryan","ATL","QB","16.4","1","16.4"
"41","Courtland Sutton","DEN","WR","16.3","1","16.3"
"42","Patrick Mahomes","KC","QB","16.2","1","16.2"
"42","Le'Veon Bell","NYJ","RB","16.2","1","16.2"
"44","Jacoby Brissett","IND","QB","16.1","1","16.1"
"44","Jamison Crowder","NYJ","WR","16.1","1","16.1"
"44","Philip Rivers","IND","QB","16.1","1","16.1"
"47","Cleveland Browns","CLE","DST","16.0","1","16.0"
"48","Tarik Cohen","CHI","RB","15.9","1","15.9"
"49","Tony Pollard","DAL","RB","15.6","1","15.6"
"50","Mark Andrews","BAL","TE","15.5","1","15.5"
"51","Ross Dwelley","SF","TE","15.4","1","15.4"
"52","Jonathan Williams","FA","RB","15.2","1","15.2"
"52","Kyle Rudolph","MIN","TE","15.2","1","15.2"
"54","Stephen Hauschka","BUF","K","15.0","1","15.0"
"54","Baltimore Ravens","BAL","DST","15.0","1","15.0"
"56","Brandon Allen","FA","QB","14.4","1","14.4"
"57","Dalvin Cook","MIN","RB","14.2","1","14.2"
"58","San Francisco 49ers","SF","DST","14.0","1","14.0"
"59","Zach Ertz","PHI","TE","13.9","1","13.9"
"60","LeSean McCoy","FA","RB","13.7","1","13.7"
"61","D.J. Moore","CAR","WR","13.5","1","13.5"
"62","Derrius Guice","WAS","RB","13.4","1","13.4"
"63","Brandon McManus","DEN","K","13.0","1","13.0"
"63","Jaylen Samuels","PIT","RB","13.0","1","13.0"
"63","Las Vegas Raiders","LV","DST","13.0","1","13.0"
"66","Ryan Fitzpatrick","MIA","QB","12.9","1","12.9"
"67","Carlos Hyde","SEA","RB","12.5","1","12.5"
"68","Julian Edelman","NE","WR","12.4","1","12.4"
"69","Jarvis Landry","CLE","WR","12.3","1","12.3"
"69","Cameron Brate","TB","TE","12.3","1","12.3"
"69","Carson Wentz","PHI","QB","12.3","1","12.3"
"72","Chris Godwin","TB","WR","12.2","1","12.2"
"73","Justin Tucker","BAL","K","12.0","1","12.0"
"74","Josh Jacobs","LV","RB","11.9","1","11.9"
"74","Hunter Henry","LAC","TE","11.9","1","11.9"
"76","Marcus Johnson","IND","WR","11.8","1","11.8"
"77","Julio Jones","ATL","WR","11.7","1","11.7"
"78","Bo Scarbrough","DET","RB","11.5","1","11.5"
"78","DeAndre Hopkins","ARI","WR","11.5","1","11.5"
"80","Darrel Williams","KC","RB","11.3","1","11.3"
"81","Dallas Goedert","PHI","TE","11.1","1","11.1"
"81","Kendrick Bourne","SF","WR","11.1","1","11.1"
"83","Kenyan Drake","ARI","RB","11.0","1","11.0"
"83","New England Patriots","NE","DST","11.0","1","11.0"
"83","Younghoe Koo","ATL","K","11.0","1","11.0"
"83","Wil Lutz","NO","K","11.0","1","11.0"
"83","Mitch Trubisky","CHI","QB","11.0","1","11.0"
"83","Kansas City Chiefs","KC","DST","11.0","1","11.0"
"83","Pharoh Cooper","CAR","WR","11.0","1","11.0"
"83","Nyheim Hines","IND","RB","11.0","1","11.0"
"91","Phillip Dorsett","SEA","WR","10.8","1","10.8"
"92","Melvin Gordon","DEN","RB","10.5","1","10.5"
"93","Mason Rudolph","PIT","QB","10.3","1","10.3"
"93","Jared Cook","NO","TE","10.3","1","10.3"
"95","Kalen Ballage","MIA","RB","10.2","1","10.2"
"95","Dawson Knox","BUF","TE","10.2","1","10.2"
"95","Larry Fitzgerald","ARI","WR","10.2","1","10.2"
"95","Tyrell Williams","LV","WR","10.2","1","10.2"
"99","Darren Waller","LV","TE","10.1","1","10.1"
"100","Michael Badgley","LAC","K","10.0","1","10.0"
"100","Buffalo Bills","BUF","DST","10.0","1","10.0"
"102","Kyle Juszczyk","SF","RB","9.8","1","9.8"
"103","Kyle Allen","WAS","QB","9.7","1","9.7"
"103","Tim Patrick","DEN","WR","9.7","1","9.7"
"105","Irv Smith Jr.","MIN","TE","9.5","1","9.5"
"106","Leonard Fournette","JAC","RB","9.2","1","9.2"
