"Rank","Player","Team","Position","Points","Games","Avg"
"1","Sammy Watkins","KC","WR","42.3","1","42.3"
"2","Christian McCaffrey","CAR","RB","37.9","1","37.9"
"3","Austin Ekeler","LAC","RB","36.4","1","36.4"
"4","Lamar Jackson","BAL","QB","33.6","1","33.6"
"5","Dak Prescott","DAL","QB","33.4","1","33.4"
"6","Deshaun Watson","HOU","QB","31.7","1","31.7"
"7","DeSean Jackson","PHI","WR","31.4","1","31.4"
"8","John Ross","CIN","WR","31.3","1","31.3"
"9","Marquise Brown","BAL","WR","28.7","1","28.7"
"10","Derrick Henry","TEN","RB","28.4","1","28.4"
"11","Matthew Stafford","DET","QB","27.6","1","27.6"
"12","Patrick Mahomes","KC","QB","27.3","1","27.3"
"13","Case Keenum","CLE","QB","27.2","1","27.2"
"14","DeAndre Hopkins","ARI","WR","27.1","1","27.1"
"15","San Francisco 49ers","SF","DST","27.0","1","27.0"
"16","Tom Brady","TB","QB","25.6","1","25.6"
"17","Marlon Mack","IND","RB","25.4","1","25.4"
"18","Carson Wentz","PHI","QB","25.0","1","25.0"
"18","Dalvin Cook","MIN","RB","25.0","1","25.0"
"20","Philip Rivers","IND","QB","24.9","1","24.9"
"21","T.Y. Hilton","IND","WR","24.7","1","24.7"
"22","Marcus Mariota","LV","QB","24.3","1","24.3"
"23","Josh Jacobs","LV","RB","23.8","1","23.8"
"24","Phillip Dorsett","SEA","WR","23.5","1","23.5"
"25","Evan Engram","NYG","TE","23.1","1","23.1"
"26","Tennessee Titans","TEN","DST","23.0","1","23.0"
"27","Mark Ingram II","BAL","RB","22.7","1","22.7"
"27","David Johnson","HOU","RB","22.7","1","22.7"
"29","D.J. Chark","JAC","WR","22.6","1","22.6"
"29","Kyler Murray","ARI","QB","22.6","1","22.6"
"31","Keenan Allen","LAC","WR","22.3","1","22.3"
"32","T.J. Hockenson","DET","TE","22.1","1","22.1"
"33","Drew Brees","NO","QB","21.8","1","21.8"
"33","John Brown","BUF","WR","21.8","1","21.8"
"35","Larry Fitzgerald","ARI","WR","21.3","1","21.3"
"36","Chris Carson","SEA","RB","21.0","1","21.0"
"36","Terry McLaurin","WAS","WR","21.0","1","21.0"
"38","Mark Andrews","BAL","TE","20.8","1","20.8"
"39","Andy Dalton","DAL","QB","20.7","1","20.7"
"40","Matt Ryan","ATL","QB","20.6","1","20.6"
"41","Alvin Kamara","NO","RB","20.4","1","20.4"
"42","Le'Veon Bell","NYJ","RB","20.2","1","20.2"
"43","Delanie Walker","FA","TE","20.0","1","20.0"
"44","Danny Amendola","DET","WR","19.9","1","19.9"
"45","Amari Cooper","DAL","WR","19.6","1","19.6"
"45","Alshon Jeffery","PHI","WR","19.6","1","19.6"
"47","Tyrell Williams","LV","WR","19.5","1","19.5"
"48","Michael Gallup","DAL","WR","19.3","1","19.3"
