"Rank","Player","Team","Position","Points","Games","Avg"
"1","Lamar Jackson","BAL","QB","36.3","1","36.3"
"2","Chris Godwin","TB","WR","33.9","1","33.9"
"3","Ryan Tannehill","TEN","QB","32.4","1","32.4"
"3","Leonard Fournette","JAC","RB","32.4","1","32.4"
"5","Jarvis Landry","CLE","WR","31.8","1","31.8"
"6","Christian McCaffrey","CAR","RB","29.8","1","29.8"
"7","D.J. Moore","CAR","WR","28.4","1","28.4"
"8","Sam Darnold","NYJ","QB","28.2","1","28.2"
"9","Derrick Henry","TEN","RB","28.0","1","28.0"
"10","Jameis Winston","NO","QB","26.3","1","26.3"
"11","Ryan Fitzpatrick","MIA","QB","25.1","1","25.1"
"12","Baker Mayfield","CLE","QB","24.6","1","24.6"
"13","DeAndre Hopkins","ARI","WR","24.4","1","24.4"
"14","Mark Ingram II","BAL","RB","24.3","1","24.3"
"15","Nick Chubb","CLE","RB","23.9","1","23.9"
"16","Drew Brees","NO","QB","23.4","1","23.4"
"17","Kyle Allen","WAS","QB","23.1","1","23.1"
"18","Allen Robinson","CHI","WR","22.1","1","22.1"
"19","George Kittle","SF","TE","21.9","1","21.9"
"20","A.J. Brown","TEN","WR","21.5","1","21.5"
"21","Zach Ertz","PHI","TE","21.1","1","21.1"
"21","Michael Thomas","NO","WR","21.1","1","21.1"
"23","Mitch Trubisky","CHI","QB","20.9","1","20.9"
"24","Josh Allen","BUF","QB","20.0","1","20.0"
"25","Deshaun Watson","HOU","QB","19.9","1","19.9"
"26","Jonathan Williams","FA","RB","19.6","1","19.6"
"27","Calvin Ridley","ATL","WR","19.0","1","19.0"
"28","Jared Cook","NO","TE","18.9","1","18.9"
"28","Rashaad Penny","SEA","RB","18.9","1","18.9"
"30","Marquise Brown","BAL","WR","18.7","1","18.7"
"31","Jimmy Garoppolo","SF","QB","18.2","1","18.2"
"32","New York Jets","NYJ","DST","18.0","1","18.0"
"33","Will Fuller","HOU","WR","17.5","1","17.5"
"34","Odell Beckham Jr.","CLE","WR","17.4","1","17.4"
"35","James Washington","PIT","WR","17.3","1","17.3"
"36","Seattle Seahawks","SEA","DST","17.0","1","17.0"
