"Rank","Player","Team","Position","Points","Games","Avg"
"1","Drew Brees","NO","QB","40.1","1","40.1"
"2","Jameis Winston","NO","QB","37.7","1","37.7"
"3","Mitch Trubisky","CHI","QB","33.1","1","33.1"
"4","A.J. Brown","TEN","WR","31.1","1","31.1"
"5","Emmanuel Sanders","NO","WR","30.6","1","30.6"
"6","Deshaun Watson","HOU","QB","30.1","1","30.1"
"7","Darius Slayton","NYG","WR","29.9","1","29.9"
"8","Austin Ekeler","LAC","RB","29.3","1","29.3"
"9","Jimmy Garoppolo","SF","QB","29.1","1","29.1"
"10","Ryan Tannehill","TEN","QB","28.5","1","28.5"
"11","Aaron Jones","GB","RB","28.2","1","28.2"
"12","Joe Mixon","CIN","RB","26.1","1","26.1"
"13","Zach Ertz","PHI","TE","25.6","1","25.6"
"14","Michael Thomas","NO","WR","24.9","1","24.9"
"14","Drew Lock","DEN","QB","24.9","1","24.9"
"16","Philip Rivers","IND","QB","24.6","1","24.6"
"17","Jason Sanders","MIA","K","24.0","1","24.0"
"18","Raheem Mostert","SF","RB","23.9","1","23.9"
"19","Derrick Henry","TEN","RB","23.4","1","23.4"
"20","DeAndre Hopkins","ARI","WR","22.7","1","22.7"
"21","Jacoby Brissett","IND","QB","22.6","1","22.6"
"21","Diontae Johnson","PIT","WR","22.6","1","22.6"
"23","Ezekiel Elliott","DAL","RB","22.3","1","22.3"
"24","Robert Woods","LAR","WR","22.2","1","22.2"
"25","Boston Scott","PHI","RB","21.8","1","21.8"
"26","Robby Anderson","CAR","WR","21.6","1","21.6"
"27","Matt Ryan","ATL","QB","21.3","1","21.3"
"28","Lamar Jackson","BAL","QB","20.8","1","20.8"
"29","Julian Edelman","NE","WR","20.3","1","20.3"
"30","Derek Carr","LV","QB","20.2","1","20.2"
"31","Kyle Allen","WAS","QB","20.1","1","20.1"
"32","Carson Wentz","PHI","QB","19.9","1","19.9"
"33","Jared Cook","NO","TE","19.4","1","19.4"
"34","Allen Robinson","CHI","WR","19.3","1","19.3"
"34","Noah Fant","DEN","TE","19.3","1","19.3"
"34","Todd Gurley","ATL","RB","19.3","1","19.3"
"37","Christian McCaffrey","CAR","RB","19.0","1","19.0"
"38","DeAndre Washington","KC","RB","18.6","1","18.6"
"39","Jared Goff","LAR","QB","18.1","1","18.1"
"39","Sam Darnold","NYJ","QB","18.1","1","18.1"
"41","Marcus Johnson","IND","WR","18.0","1","18.0"
"41","Younghoe Koo","ATL","K","18.0","1","18.0"
"43","Zach Pascal","IND","WR","17.9","1","17.9"
"44","Dak Prescott","DAL","QB","17.5","1","17.5"
"45","Devonta Freeman","FA","RB","17.4","1","17.4"
"46","Amari Cooper","DAL","WR","17.3","1","17.3"
"47","Melvin Gordon","DEN","RB","16.9","1","16.9"
"48","Calvin Ridley","ATL","WR","16.1","1","16.1"
"49","Eli Manning","FA","QB","16.0","1","16.0"
"50","Olamide Zaccheaus","ATL","WR","15.8","1","15.8"
"51","George Kittle","SF","TE","15.7","1","15.7"
"52","Ryan Fitzpatrick","MIA","QB","15.3","1","15.3"
"52","Kendrick Bourne","SF","WR","15.3","1","15.3"
"54","Tyler Higbee","LAR","TE","15.1","1","15.1"
"55","Denver Broncos","DEN","DST","15.0","1","15.0"
"55","Randy Bullock","CIN","K","15.0","1","15.0"
"57","Patrick Mahomes","KC","QB","14.9","1","14.9"
"58","Kenny Golladay","DET","WR","14.8","1","14.8"
"58","Devin Singletary","BUF","RB","14.8","1","14.8"
"58","Hayden Hurst","ATL","TE","14.8","1","14.8"
"61","Breshad Perriman","NYJ","WR","14.5","1","14.5"
"61","Travis Kelce","KC","TE","14.5","1","14.5"
"61","Dalvin Cook","MIN","RB","14.5","1","14.5"
"64","Justin Watson","TB","WR","14.4","1","14.4"
"65","Ian Thomas","CAR","TE","14.2","1","14.2"
"66","Atlanta Falcons","ATL","DST","14.0","1","14.0"
"66","Los Angeles Rams","LAR","DST","14.0","1","14.0"
"68","Michael Gallup","DAL","WR","13.9","1","13.9"
"69","Kareem Hunt","CLE","RB","13.8","1","13.8"
"70","Terry McLaurin","WAS","WR","13.7","1","13.7"
"71","Adrian Peterson","WAS","RB","13.6","1","13.6"
"71","Kirk Cousins","MIN","QB","13.6","1","13.6"
"71","Gardner Minshew II","JAC","QB","13.6","1","13.6"
