"Rank","Player","Team","Position","Points","Games","Avg"
"1","Will Fuller","HOU","WR","46.7","1","46.7"
"2","Aaron Jones","GB","RB","45.7","1","45.7"
"3","Christian McCaffrey","CAR","RB","44.7","1","44.7"
"4","Deshaun Watson","HOU","QB","41.7","1","41.7"
"5","Michael Thomas","NO","WR","35.7","1","35.7"
"6","Philadelphia Eagles","PHI","DST","35.0","1","35.0"
"7","Amari Cooper","DAL","WR","34.1","1","34.1"
"8","Matt Ryan","ATL","QB","32.9","1","32.9"
"9","D.J. Chark","JAC","WR","32.4","1","32.4"
"10","Russell Wilson","SEA","QB","29.9","1","29.9"
"11","Adam Thielen","MIN","WR","28.5","1","28.5"
"12","Teddy Bridgewater","CAR","QB","28.3","1","28.3"
"13","Chris Godwin","TB","WR","28.0","1","28.0"
"14","Josh Jacobs","LV","RB","27.8","1","27.8"
"15","Matt Breida","MIA","RB","26.4","1","26.4"
"16","Dak Prescott","DAL","QB","26.2","1","26.2"
"17","Kyler Murray","ARI","QB","25.4","1","25.4"
"18","Allen Robinson","CHI","WR","25.2","1","25.2"
"19","Tom Brady","TB","QB","24.9","1","24.9"
"20","Tyler Boyd","CIN","WR","23.3","1","23.3"
"21","Dalvin Cook","MIN","RB","22.8","1","22.8"
"22","Phillip Lindsay","DEN","RB","22.7","1","22.7"
"23","Cooper Kupp","LAR","WR","22.2","1","22.2"
"24","Leonard Fournette","JAC","RB","21.7","1","21.7"
"25","Gardner Minshew II","JAC","QB","21.2","1","21.2"
"26","Julian Edelman","NE","WR","21.0","1","21.0"
"27","Michael Gallup","DAL","WR","20.8","1","20.8"
"28","Kirk Cousins","MIN","QB","20.5","1","20.5"
"29","Sony Michel","NE","RB","19.8","1","19.8"
"30","Byron Pringle","KC","WR","19.3","1","19.3"
"31","San Francisco 49ers","SF","DST","19.0","1","19.0"
"31","Andy Dalton","DAL","QB","19.0","1","19.0"
"33","Jared Goff","LAR","QB","18.9","1","18.9"
"34","Chris Carson","SEA","RB","18.8","1","18.8"
"35","Josh Allen","BUF","QB","18.5","1","18.5"
"35","Patrick Mahomes","KC","QB","18.5","1","18.5"
"37","George Kittle","SF","TE","17.8","1","17.8"
"38","Jameis Winston","NO","QB","17.5","1","17.5"
"39","Calvin Ridley","ATL","WR","17.3","1","17.3"
"40","Todd Gurley","ATL","RB","17.2","1","17.2"
"40","Courtland Sutton","DEN","WR","17.2","1","17.2"
"42","David Johnson","HOU","RB","17.1","1","17.1"
"42","Gerald Everett","LAR","TE","17.1","1","17.1"
"44","Marlon Mack","IND","RB","16.3","1","16.3"
"45","Chase Edmonds","ARI","RB","16.1","1","16.1"
"45","Ezekiel Elliott","DAL","RB","16.1","1","16.1"
"47","Justin Tucker","BAL","K","16.0","1","16.0"
"47","Dan Bailey","MIN","K","16.0","1","16.0"
"49","Tevin Coleman","SF","RB","15.7","1","15.7"
"50","Devonta Freeman","FA","RB","15.5","1","15.5"
"51","Chase Daniel","DET","QB","15.4","1","15.4"
"52","JuJu Smith-Schuster","PIT","WR","15.0","1","15.0"
"52","Darren Fells","HOU","TE","15.0","1","15.0"
"54","Jimmy Garoppolo","SF","QB","14.9","1","14.9"
"55","Austin Ekeler","LAC","RB","14.8","1","14.8"
"56","Lamar Jackson","BAL","QB","14.4","1","14.4"
"57","Zach Ertz","PHI","TE","14.2","1","14.2"
