"Rank","Player","Team","Position","Points","Games","Avg"
"1","Russell Wilson","SEA","QB","41.3","1","41.3"
"2","Mike Evans","TB","WR","41.0","1","41.0"
"3","Keenan Allen","LAC","WR","37.1","1","37.1"
"4","Daniel Jones","NYG","QB","34.2","1","34.2"
"5","Mark Ingram II","BAL","RB","33.5","1","33.5"
"6","Alvin Kamara","NO","RB","32.6","1","32.6"
"7","Taylor Gabriel","FA","WR","29.2","1","29.2"
"8","Patrick Mahomes","KC","QB","27.9","1","27.9"
"9","Cooper Kupp","LAR","WR","27.6","1","27.6"
"10","Phillip Lindsay","DEN","RB","27.0","1","27.0"
"11","Tyler Lockett","SEA","WR","26.9","1","26.9"
"12","Jameis Winston","NO","QB","26.5","1","26.5"
"13","Christian McCaffrey","CAR","RB","26.3","1","26.3"
"14","Deshaun Watson","HOU","QB","25.8","1","25.8"
"15","Kyle Allen","WAS","QB","24.3","1","24.3"
"16","Amari Cooper","DAL","WR","23.8","1","23.8"
"17","Sterling Shepard","NYG","WR","23.6","1","23.6"
"18","Dak Prescott","DAL","QB","23.5","1","23.5"
"18","Matt Ryan","ATL","QB","23.5","1","23.5"
"20","Julio Jones","ATL","WR","22.8","1","22.8"
"21","Greg Olsen","SEA","TE","22.5","1","22.5"
"22","Dalvin Cook","MIN","RB","22.3","1","22.3"
"23","Carson Wentz","PHI","QB","21.7","1","21.7"
"24","Austin Hooper","CLE","TE","21.6","1","21.6"
"25","LeSean McCoy","FA","RB","21.5","1","21.5"
"26","Lamar Jackson","BAL","QB","21.3","1","21.3"
"27","Chicago Bears","CHI","DST","21.0","1","21.0"
"28","Jacoby Brissett","IND","QB","20.8","1","20.8"
"28","Jordan Akins","HOU","TE","20.8","1","20.8"
"30","Darren Waller","LV","TE","20.6","1","20.6"
"31","Mitch Trubisky","CHI","QB","20.4","1","20.4"
"32","Evan Engram","NYG","TE","20.3","1","20.3"
"32","Tony Pollard","DAL","RB","20.3","1","20.3"
"34","Tom Brady","TB","QB","20.1","1","20.1"
"35","Kyler Murray","ARI","QB","19.8","1","19.8"
"36","Philip Rivers","IND","QB","19.6","1","19.6"
"37","Josh Allen","BUF","QB","19.3","1","19.3"
"38","Adam Thielen","MIN","WR","19.1","1","19.1"
"38","Marvin Jones","DET","WR","19.1","1","19.1"
"40","Nelson Agholor","LV","WR","19.0","1","19.0"
"41","Marquez Valdes-Scantling","GB","WR","18.9","1","18.9"
"42","Paul Richardson Jr.","FA","WR","18.3","1","18.3"
"43","Andy Dalton","DAL","QB","18.1","1","18.1"
"44","Gardner Minshew II","JAC","QB","18.0","1","18.0"
"45","Mecole Hardman","KC","WR","17.4","1","17.4"
"46","Derek Carr","LV","QB","16.7","1","16.7"
"47","T.Y. Hilton","IND","WR","16.5","1","16.5"
"48","Joe Mixon","CIN","RB","16.4","1","16.4"
"49","Teddy Bridgewater","CAR","QB","16.3","1","16.3"
"50","Jared Goff","LAR","QB","16.1","1","16.1"
"51","Brandin Cooks","HOU","WR","16.0","1","16.0"
"51","Terry McLaurin","WAS","WR","16.0","1","16.0"
"51","Matt Gay","TB","K","16.0","1","16.0"
"51","New York Jets","NYJ","DST","16.0","1","16.0"
"55","Rex Burkhead","NE","RB","15.9","1","15.9"
"55","Frank Gore","NYJ","RB","15.9","1","15.9"
"57","Marlon Mack","IND","RB","15.8","1","15.8"
"58","Julian Edelman","NE","WR","15.7","1","15.7"
