"Rank","Player","Team","Position","Points","Games","Avg"
"1","Saquon Barkley","NYG","RB","41.9","1","41.9"
"2","Daniel Jones","NYG","QB","35.3","1","35.3"
"3","Andy Dalton","DAL","QB","33.8","1","33.8"
"4","Ryan Fitzpatrick","MIA","QB","32.7","1","32.7"
"5","Kenyan Drake","ARI","RB","31.9","1","31.9"
"6","Lamar Jackson","BAL","QB","29.8","1","29.8"
"7","Tyler Boyd","CIN","WR","29.3","1","29.3"
"8","Devonta Freeman","FA","RB","29.2","1","29.2"
"9","Aaron Jones","GB","RB","27.0","1","27.0"
"10","Alvin Kamara","NO","RB","26.0","1","26.0"
"11","Michael Thomas","NO","WR","25.6","1","25.6"
"12","Patrick Mahomes","KC","QB","25.4","1","25.4"
"13","Christian McCaffrey","CAR","RB","24.8","1","24.8"
"14","Mark Andrews","BAL","TE","24.3","1","24.3"
"15","Miles Sanders","PHI","RB","24.1","1","24.1"
"16","Ryan Tannehill","TEN","QB","23.7","1","23.7"
"17","Mike Gesicki","MIA","TE","23.2","1","23.2"
"18","Drew Brees","NO","QB","22.9","1","22.9"
"19","Steven Sims","WAS","WR","22.3","1","22.3"
"20","Derek Carr","LV","QB","21.9","1","21.9"
"20","Jared Cook","NO","TE","21.9","1","21.9"
"22","Julio Jones","ATL","WR","21.6","1","21.6"
"23","Tajae Sharpe","MIN","WR","21.4","1","21.4"
"24","Jared Goff","LAR","QB","21.1","1","21.1"
"25","Josh Allen","BUF","QB","20.6","1","20.6"
"26","Hunter Renfrow","LV","WR","20.2","1","20.2"
"27","Houston Texans","HOU","DST","20.0","1","20.0"
"28","Melvin Gordon","DEN","RB","19.7","1","19.7"
"29","Dallas Goedert","PHI","TE","19.6","1","19.6"
"29","DeVante Parker","MIA","WR","19.6","1","19.6"
"31","Carson Wentz","PHI","QB","19.0","1","19.0"
"32","Phillip Lindsay","DEN","RB","18.8","1","18.8"
"33","Kaden Smith","NYG","TE","18.5","1","18.5"
"34","Ronald Jones II","TB","RB","18.4","1","18.4"
"35","Diontae Johnson","PIT","WR","18.1","1","18.1"
"36","Matt Ryan","ATL","QB","18.0","1","18.0"
"36","Indianapolis Colts","IND","DST","18.0","1","18.0"
"38","DeAndre Washington","KC","RB","17.6","1","17.6"
"39","Travis Kelce","KC","TE","17.4","1","17.4"
"40","Tom Brady","TB","QB","17.2","1","17.2"
"41","Marlon Mack","IND","RB","17.1","1","17.1"
"42","Todd Gurley","ATL","RB","16.8","1","16.8"
"43","Damien Williams","KC","RB","16.7","1","16.7"
"44","Sterling Shepard","NYG","WR","16.6","1","16.6"
"45","George Kittle","SF","TE","16.4","1","16.4"
"45","Case Keenum","CLE","QB","16.4","1","16.4"
"47","Robert Woods","LAR","WR","16.3","1","16.3"
"48","Davante Adams","GB","WR","16.1","1","16.1"
"48","Mark Ingram II","BAL","RB","16.1","1","16.1"
"50","Rex Burkhead","NE","RB","15.7","1","15.7"
"50","Tyler Eifert","JAC","TE","15.7","1","15.7"
"52","Kenny Golladay","DET","WR","15.6","1","15.6"
"53","DaeSean Hamilton","DEN","WR","15.5","1","15.5"
"54","Jacoby Brissett","IND","QB","15.2","1","15.2"
"55","Baker Mayfield","CLE","QB","15.1","1","15.1"
"56","Jameis Winston","NO","QB","15.0","1","15.0"
"57","Tyler Higbee","LAR","TE","14.9","1","14.9"
"58","Gardner Minshew II","JAC","QB","14.8","1","14.8"
"58","A.J. Brown","TEN","WR","14.8","1","14.8"
"60","Jordan Wilkins","IND","RB","14.4","1","14.4"
"61","Cole Beasley","BUF","WR","14.3","1","14.3"
"62","Deebo Samuel","SF","WR","13.9","1","13.9"
"63","Jonnu Smith","TEN","TE","13.8","1","13.8"
"64","Breshad Perriman","NYJ","WR","13.7","1","13.7"
"65","Dwayne Haskins","WAS","QB","13.3","1","13.3"
"66","Stefon Diggs","BUF","WR","13.2","1","13.2"
"67","Nyheim Hines","IND","RB","13.1","1","13.1"
"68","Sam Ficken","NYJ","K","13.0","1","13.0"
"69","Cody Latimer","WAS","WR","12.9","1","12.9"
"70","Larry Fitzgerald","ARI","WR","12.8","1","12.8"
"70","Justin Watson","TB","WR","12.8","1","12.8"
"72","Kyler Murray","ARI","QB","12.7","1","12.7"
"72","Drew Lock","DEN","QB","12.7","1","12.7"
