"Rank","Player","Team","Position","Points","Games","Avg"
"1","Aaron Rodgers","GB","QB","43.8","1","43.8"
"2","Marvin Jones","DET","WR","38.3","1","38.3"
"3","Chase Edmonds","ARI","RB","34.0","1","34.0"
"4","Matthew Stafford","DET","QB","29.6","1","29.6"
"5","Latavius Murray","NO","RB","29.5","1","29.5"
"6","Kirk Cousins","MIN","QB","29.2","1","29.2"
"7","Darren Waller","LV","TE","28.1","1","28.1"
"8","Jacoby Brissett","IND","QB","27.6","1","27.6"
"9","Dalvin Cook","MIN","RB","27.4","1","27.4"
"10","Zach Pascal","IND","WR","25.6","1","25.6"
"11","New England Patriots","NE","DST","25.0","1","25.0"
"11","Jared Goff","LAR","QB","25.0","1","25.0"
"13","Kansas City Chiefs","KC","DST","24.0","1","24.0"
"14","Ezekiel Elliott","DAL","RB","23.7","1","23.7"
"15","Lamar Jackson","BAL","QB","23.3","1","23.3"
"16","Austin Ekeler","LAC","RB","22.0","1","22.0"
"17","Sony Michel","NE","RB","21.9","1","21.9"
"18","Ryan Fitzpatrick","MIA","QB","21.6","1","21.6"
"18","Dak Prescott","DAL","QB","21.6","1","21.6"
"20","Josh Allen","BUF","QB","21.3","1","21.3"
"20","Andy Dalton","DAL","QB","21.3","1","21.3"
"22","Philip Rivers","IND","QB","21.2","1","21.2"
"23","DeAndre Hopkins","ARI","WR","21.1","1","21.1"
"24","Gardner Minshew II","JAC","QB","21.0","1","21.0"
"24","Los Angeles Rams","LAR","DST","21.0","1","21.0"
"26","Marquez Valdes-Scantling","GB","WR","20.3","1","20.3"
"27","Ryan Tannehill","TEN","QB","20.2","1","20.2"
"28","Mitch Trubisky","CHI","QB","20.0","1","20.0"
"29","Teddy Bridgewater","CAR","QB","19.9","1","19.9"
"30","Allen Robinson","CHI","WR","19.7","1","19.7"
"31","Baltimore Ravens","BAL","DST","18.0","1","18.0"
"32","Stefon Diggs","BUF","WR","17.8","1","17.8"
"33","Michael Thomas","NO","WR","17.6","1","17.6"
"34","Deshaun Watson","HOU","QB","17.5","1","17.5"
"34","Alex Erickson","CIN","WR","17.5","1","17.5"
"36","Derrick Henry","TEN","RB","17.3","1","17.3"
"37","Corey Davis","TEN","WR","17.0","1","17.0"
"37","Jacksonville Jaguars","JAC","DST","17.0","1","17.0"
"39","John Brown","BUF","WR","16.8","1","16.8"
"40","Derek Carr","LV","QB","16.7","1","16.7"
"41","T.Y. Hilton","IND","WR","16.4","1","16.4"
"42","Aaron Jones","GB","RB","16.3","1","16.3"
"43","Leonard Fournette","JAC","RB","15.5","1","15.5"
"43","Saquon Barkley","NYG","RB","15.5","1","15.5"
"45","Russell Wilson","SEA","QB","15.3","1","15.3"
"46","Eric Ebron","PIT","TE","15.0","1","15.0"
"46","Brett Maher","NYJ","K","15.0","1","15.0"
"46","Greg Zuerlein","DAL","K","15.0","1","15.0"
"46","Arizona Cardinals","ARI","DST","15.0","1","15.0"
"46","Dallas Cowboys","DAL","DST","15.0","1","15.0"
"46","San Francisco 49ers","SF","DST","15.0","1","15.0"
"52","Tyreek Hill","KC","WR","14.9","1","14.9"
"52","Josh Jacobs","LV","RB","14.9","1","14.9"
"54","Dede Westbrook","JAC","WR","14.7","1","14.7"
"54","Royce Freeman","DEN","RB","14.7","1","14.7"
"56","Danny Amendola","DET","WR","14.5","1","14.5"
"56","Jimmy Graham","CHI","TE","14.5","1","14.5"
"58","Kyle Rudolph","MIN","TE","14.3","1","14.3"
"58","Tyler Lockett","SEA","WR","14.3","1","14.3"
"60","DeVante Parker","MIA","WR","14.0","1","14.0"
"61","Amari Cooper","DAL","WR","13.1","1","13.1"
"62","Tom Brady","TB","QB","13.0","1","13.0"
"62","Gerald Everett","LAR","TE","13.0","1","13.0"
"62","Stephen Hauschka","BUF","K","13.0","1","13.0"
"62","Josh Lambo","JAC","K","13.0","1","13.0"
"66","Dallas Goedert","PHI","TE","12.9","1","12.9"
"67","Hunter Henry","LAC","TE","12.7","1","12.7"
"68","Austin Hooper","CLE","TE","12.6","1","12.6"
"69","Kenny Stills","HOU","WR","12.5","1","12.5"
"70","Jake Kumerow","GB","WR","12.4","1","12.4"
"71","Julio Jones","ATL","WR","12.3","1","12.3"
"72","Phillip Dorsett","SEA","WR","12.1","1","12.1"
"73","Harrison Butker","KC","K","12.0","1","12.0"
"73","Olabisi Johnson","MIN","WR","12.0","1","12.0"
"73","Ka'imi Fairbairn","HOU","K","12.0","1","12.0"
"73","Justin Tucker","BAL","K","12.0","1","12.0"
"77","Todd Gurley","ATL","RB","11.9","1","11.9"
"78","Josh Hill","NO","TE","11.8","1","11.8"
"78","Chris Conley","JAC","WR","11.8","1","11.8"
"80","Courtland Sutton","DEN","WR","11.7","1","11.7"
"81","Daniel Jones","NYG","QB","11.4","1","11.4"
"82","Robert Woods","LAR","WR","11.1","1","11.1"
"82","Jamaal Williams","GB","RB","11.1","1","11.1"
"84","Golden Tate","NYG","WR","11.0","1","11.0"
"85","Keke Coutee","HOU","WR","10.4","1","10.4"
"86","Rhett Ellison","FA","TE","10.3","1","10.3"
"87","Julian Edelman","NE","WR","10.2","1","10.2"
"88","Jason Myers","SEA","K","10.0","1","10.0"
"88","Wil Lutz","NO","K","10.0","1","10.0"
"88","Zane Gonzalez","ARI","K","10.0","1","10.0"
"88","Chase McLaughlin","IND","K","10.0","1","10.0"
"92","Mecole Hardman","KC","WR","9.8","1","9.8"
"93","James White","NE","RB","9.4","1","9.4"
"93","Foster Moreau","LV","TE","9.4","1","9.4"
"95","Cordarrelle Patterson","CHI","WR","9.3","1","9.3"
"96","A.J. Brown","TEN","WR","9.2","1","9.2"
"96","Preston Williams","MIA","WR","9.2","1","9.2"
"98","Cole Beasley","BUF","WR","9.1","1","9.1"
"99","Adam Thielen","MIN","WR","9.0","1","9.0"
"99","Indianapolis Colts","IND","DST","9.0","1","9.0"
"99","Robbie Gould","SF","K","9.0","1","9.0"
"99","Taysom Hill","NO","QB","9.0","1","9.0"
"103","Chris Carson","SEA","RB","8.9","1","8.9"
"103","Tajae Sharpe","MIN","WR","8.9","1","8.9"
"105","D.J. Chark","JAC","WR","8.8","1","8.8"
"106","LeSean McCoy","FA","RB","8.6","1","8.6"
"106","Matt Moore","FA","QB","8.6","1","8.6"
"108","Irv Smith Jr.","MIN","TE","8.5","1","8.5"
"108","Emmanuel Sanders","NO","WR","8.5","1","8.5"
"110","Kendrick Bourne","SF","WR","8.4","1","8.4"
"111","Keenan Allen","LAC","WR","8.1","1","8.1"
"111","Le'Veon Bell","NYJ","RB","8.1","1","8.1"
"113","Washington Redskins","WAS","DST","8.0","1","8.0"
"113","Cooper Kupp","LAR","WR","8.0","1","8.0"
"113","New York Giants","NYG","DST","8.0","1","8.0"
"113","New Orleans Saints","NO","DST","8.0","1","8.0"
"113","Tavon Austin","FA","WR","8.0","1","8.0"
"113","Auden Tate","CIN","WR","8.0","1","8.0"
"119","CJ Ham","MIN","RB","7.9","1","7.9"
"119","Jonnu Smith","TEN","TE","7.9","1","7.9"
"119","Brandin Cooks","HOU","WR","7.9","1","7.9"
"119","Melvin Gordon","DEN","RB","7.9","1","7.9"
"123","Carson Wentz","PHI","QB","7.8","1","7.8"
"124","Ty Johnson","DET","RB","7.7","1","7.7"
"125","Jaron Brown","FA","WR","7.5","1","7.5"
"126","Tarik Cohen","CHI","RB","7.4","1","7.4"
"126","Travis Kelce","KC","TE","7.4","1","7.4"
"128","Kenyan Drake","ARI","RB","7.3","1","7.3"
"129","Jakobi Meyers","NE","WR","7.2","1","7.2"
"129","Patrick Mahomes","KC","QB","7.2","1","7.2"
"131","Tevin Coleman","SF","RB","7.1","1","7.1"
"131","Javon Wims","CHI","WR","7.1","1","7.1"
"131","Frank Gore","NYJ","RB","7.1","1","7.1"
"131","Marlon Mack","IND","RB","7.1","1","7.1"
"135","Kyler Murray","ARI","QB","7.0","1","7.0"
"135","Jimmy Garoppolo","SF","QB","7.0","1","7.0"
"135","Matt Prater","DET","K","7.0","1","7.0"
"135","Daniel Carlson","LV","K","7.0","1","7.0"
"135","Mike Nugent","FA","K","7.0","1","7.0"
"135","J.D. McKissic","WAS","RB","7.0","1","7.0"
"141","Joe Mixon","CIN","RB","6.9","1","6.9"
"141","Keelan Doss","LV","WR","6.9","1","6.9"
"143","Anthony Miller","CHI","WR","6.8","1","6.8"
"143","Allen Hurns","MIA","WR","6.8","1","6.8"
"145","Kalen Ballage","MIA","RB","6.7","1","6.7"
"145","Keelan Cole","JAC","WR","6.7","1","6.7"
"145","Mike Williams","LAC","WR","6.7","1","6.7"
"148","Jordan Howard","MIA","RB","6.6","1","6.6"
"148","Duke Johnson","HOU","RB","6.6","1","6.6"
"148","Blake Jarwin","DAL","TE","6.6","1","6.6"
"151","Matt Schaub","ATL","QB","6.5","1","6.5"
"151","Joe Flacco","NYJ","QB","6.5","1","6.5"
"151","Miles Boykin","BAL","WR","6.5","1","6.5"
"154","Mark Walton","FA","RB","6.3","1","6.3"
"155","Brandon Bolden","NE","RB","6.1","1","6.1"
"155","Mike Gesicki","MIA","TE","6.1","1","6.1"
"155","Adrian Peterson","WAS","RB","6.1","1","6.1"
"158","Matt Bryant","FA","K","6.0","1","6.0"
"158","Cody Parkey","FA","K","6.0","1","6.0"
"158","Adam Humphries","TEN","WR","6.0","1","6.0"
"158","Tyler Boyd","CIN","WR","6.0","1","6.0"
"158","Eddy Pineiro","CHI","K","6.0","1","6.0"
"158","Mason Crosby","GB","K","6.0","1","6.0"
"158","Dan Bailey","MIN","K","6.0","1","6.0"
"165","Mark Ingram II","BAL","RB","5.8","1","5.8"
"165","Ted Ginn","CHI","WR","5.8","1","5.8"
"167","Demaryius Thomas","FA","WR","5.7","1","5.7"
"167","Allen Lazard","GB","WR","5.7","1","5.7"
"169","Bennie Fowler III","FA","WR","5.5","1","5.5"
"170","Mike Glennon","JAC","QB","5.4","1","5.4"
"170","Adam Shaheen","CHI","TE","5.4","1","5.4"
"172","Geronimo Allison","DET","WR","5.3","1","5.3"
"172","Jason Witten","LV","TE","5.3","1","5.3"
"172","Dan Vitale","NE","RB","5.3","1","5.3"
"172","Cody Latimer","WAS","WR","5.3","1","5.3"
"172","George Kittle","SF","TE","5.3","1","5.3"
"172","D.K. Metcalf","SEA","WR","5.3","1","5.3"
"178","Marvin Hall","DET","WR","5.2","1","5.2"
"179","Randy Bullock","CIN","K","5.0","1","5.0"
"179","Calvin Ridley","ATL","WR","5.0","1","5.0"
"179","Buffalo Bills","BUF","DST","5.0","1","5.0"
"182","Mark Andrews","BAL","TE","4.9","1","4.9"
"182","Michael Gallup","DAL","WR","4.9","1","4.9"
"182","Pharoh Cooper","CAR","WR","4.9","1","4.9"
"185","Zach Ertz","PHI","TE","4.8","1","4.8"
"185","Alshon Jeffery","PHI","WR","4.8","1","4.8"
"187","Miles Sanders","PHI","RB","4.7","1","4.7"
"187","T.J. Hockenson","DET","TE","4.7","1","4.7"
"189","Jamison Crowder","NYJ","WR","4.6","1","4.6"
"189","Demarcus Robinson","KC","WR","4.6","1","4.6"
"189","DeAndre Washington","KC","RB","4.6","1","4.6"
"189","Wendell Smallwood","FA","RB","4.6","1","4.6"
"193","Richie James","SF","WR","4.5","1","4.5"
"194","Darrell Henderson","LAR","RB","4.4","1","4.4"
"195","Boston Scott","PHI","RB","4.2","1","4.2"
"196","Matt Breida","MIA","RB","4.1","1","4.1"
"196","Marcell Ateman","LV","WR","4.1","1","4.1"
"198","Tennessee Titans","TEN","DST","4.0","1","4.0"
"198","Los Angeles Chargers","LAC","DST","4.0","1","4.0"
"198","Adam Vinatieri","FA","K","4.0","1","4.0"
"198","Jake Elliott","PHI","K","4.0","1","4.0"
"198","Trey Quinn","WAS","WR","4.0","1","4.0"
"203","Randall Cobb","HOU","WR","3.9","1","3.9"
"204","Darius Slayton","NYG","WR","3.8","1","3.8"
"205","Phillip Lindsay","DEN","RB","3.7","1","3.7"
"205","Darren Fells","HOU","TE","3.7","1","3.7"
"207","Patrick DiMarco","BUF","RB","3.6","1","3.6"
"207","Matt Ryan","ATL","QB","3.6","1","3.6"
"207","Trevor Davis","CHI","WR","3.6","1","3.6"
"207","Jack Doyle","IND","TE","3.6","1","3.6"
"211","Brian Hill","ATL","RB","3.5","1","3.5"
"211","Jacob Hollister","SEA","TE","3.5","1","3.5"
"211","Carlos Hyde","SEA","RB","3.5","1","3.5"
"211","Gus Edwards","BAL","RB","3.5","1","3.5"
"211","Devonta Freeman","FA","RB","3.5","1","3.5"
"216","Nelson Agholor","LV","WR","3.4","1","3.4"
"216","Chester Rogers","FA","WR","3.4","1","3.4"
"218","Benjamin Watson","FA","TE","3.3","1","3.3"
"219","Derek Carrier","LV","TE","3.2","1","3.2"
"219","Anthony Firkser","TEN","TE","3.2","1","3.2"
"219","Dawson Knox","BUF","TE","3.2","1","3.2"
"222","Case Keenum","CLE","QB","3.1","1","3.1"
"223","Aldrick Rosas","NYG","K","3.0","1","3.0"
"223","Jason Sanders","MIA","K","3.0","1","3.0"
"223","Minnesota Vikings","MIN","DST","3.0","1","3.0"
"226","Justin Hardy","FA","WR","2.9","1","2.9"
"226","Malik Turner","FA","WR","2.9","1","2.9"
"228","Duke Williams","BUF","WR","2.8","1","2.8"
"228","Tony Pollard","DAL","RB","2.8","1","2.8"
"230","Jordan Akins","HOU","TE","2.7","1","2.7"
"230","Albert Wilson","MIA","WR","2.7","1","2.7"
"230","Andy Janovich","CLE","RB","2.7","1","2.7"
"233","Devin Singletary","BUF","RB","2.6","1","2.6"
"233","Kenny Golladay","DET","WR","2.6","1","2.6"
"235","Nick Boyle","BAL","TE","2.5","1","2.5"
"236","Hunter Renfrow","LV","WR","2.4","1","2.4"
"237","Jeremy Sprinkle","WAS","TE","2.3","1","2.3"
"237","Kerryon Johnson","DET","RB","2.3","1","2.3"
"239","Trey Burton","IND","TE","2.1","1","2.1"
"239","Nyheim Hines","IND","RB","2.1","1","2.1"
"239","Isaiah McKenzie","BUF","WR","2.1","1","2.1"
"242","Zach Line","FA","RB","2.0","1","2.0"
"242","Jeff Wilson","SF","RB","2.0","1","2.0"
"242","Green Bay Packers","GB","DST","2.0","1","2.0"
"242","Steven Sims","WAS","WR","2.0","1","2.0"
"242","Houston Texans","HOU","DST","2.0","1","2.0"
"242","Tyler Eifert","JAC","TE","2.0","1","2.0"
"242","Jordan Wilkins","IND","RB","2.0","1","2.0"
"242","Cincinnati Bengals","CIN","DST","2.0","1","2.0"
"242","Seattle Seahawks","SEA","DST","2.0","1","2.0"
"251","David Moore","SEA","WR","1.9","1","1.9"
"252","Andy Isabella","ARI","WR","1.8","1","1.8"
"252","Alexander Mattison","MIN","RB","1.8","1","1.8"
"254","Larry Fitzgerald","ARI","WR","1.7","1","1.7"
"254","Charles Clay","FA","TE","1.7","1","1.7"
"254","C.J. Prosise","FA","RB","1.7","1","1.7"
