"Rank","Player","Team","Position","Points","Games","Avg"
"1","Nick Chubb","CLE","RB","37.8","1","37.8"
"2","Chris Godwin","TB","WR","35.2","1","35.2"
"3","Jordan Howard","MIA","RB","31.0","1","31.0"
"4","Jameis Winston","NO","QB","30.3","1","30.3"
"5","New England Patriots","NE","DST","29.0","1","29.0"
"6","Christian McCaffrey","CAR","RB","28.9","1","28.9"
"7","Austin Ekeler","LAC","RB","26.7","1","26.7"
"8","Lamar Jackson","BAL","QB","26.5","1","26.5"
"8","Aaron Rodgers","GB","QB","26.5","1","26.5"
"10","Leonard Fournette","JAC","RB","25.5","1","25.5"
"11","Wayne Gallman","NYG","RB","24.8","1","24.8"
"12","New York Giants","NYG","DST","24.0","1","24.0"
"13","Jared Goff","LAR","QB","23.7","1","23.7"
"14","Jacoby Brissett","IND","QB","23.5","1","23.5"
"15","Matthew Stafford","DET","QB","23.4","1","23.4"
"16","Marcus Mariota","LV","QB","23.3","1","23.3"
"17","Joe Flacco","NYJ","QB","23.0","1","23.0"
"17","Davante Adams","GB","WR","23.0","1","23.0"
"19","Robert Woods","LAR","WR","22.9","1","22.9"
"19","A.J. Brown","TEN","WR","22.9","1","22.9"
"21","James Conner","PIT","RB","22.5","1","22.5"
"21","Todd Gurley","ATL","RB","22.5","1","22.5"
"23","Cooper Kupp","LAR","WR","22.4","1","22.4"
"24","Courtland Sutton","DEN","WR","21.2","1","21.2"
"24","Kenny Golladay","DET","WR","21.2","1","21.2"
"26","Jarvis Landry","CLE","WR","20.7","1","20.7"
"27","Philip Rivers","IND","QB","20.4","1","20.4"
"28","Carson Wentz","PHI","QB","19.7","1","19.7"
"29","Jaylen Samuels","PIT","RB","19.5","1","19.5"
"30","Pittsburgh Steelers","PIT","DST","19.0","1","19.0"
"31","Patrick Mahomes","KC","QB","18.0","1","18.0"
"32","David Johnson","HOU","RB","17.9","1","17.9"
"33","Corey Davis","TEN","WR","17.6","1","17.6"
"34","Austin Hooper","CLE","TE","17.5","1","17.5"
"35","Kyler Murray","ARI","QB","17.3","1","17.3"
"36","Darrel Williams","KC","RB","17.1","1","17.1"
"37","Chicago Bears","CHI","DST","17.0","1","17.0"
"38","Mason Rudolph","PIT","QB","16.9","1","16.9"
"38","Mike Evans","TB","WR","16.9","1","16.9"
"40","Baker Mayfield","CLE","QB","16.8","1","16.8"
"41","Gardner Minshew II","JAC","QB","16.7","1","16.7"
"42","Chris Carson","SEA","RB","16.5","1","16.5"
"43","Dalvin Cook","MIN","RB","16.0","1","16.0"
"43","Ty Long","LAC","K","16.0","1","16.0"
"43","Seattle Seahawks","SEA","DST","16.0","1","16.0"
"46","LeSean McCoy","FA","RB","15.9","1","15.9"
"47","Ricky Seals-Jones","KC","TE","15.7","1","15.7"
"47","Matt Ryan","ATL","QB","15.7","1","15.7"
"49","Will Dissly","SEA","TE","15.2","1","15.2"
"50","Jimmy Graham","CHI","TE","15.1","1","15.1"
"51","DeVante Parker","MIA","WR","15.0","1","15.0"
"51","Matt Prater","DET","K","15.0","1","15.0"
"51","Josh Lambo","JAC","K","15.0","1","15.0"
"51","Matt Gay","TB","K","15.0","1","15.0"
"51","Tampa Bay Buccaneers","TB","DST","15.0","1","15.0"
"56","Aaron Jones","GB","RB","14.8","1","14.8"
"57","Diontae Johnson","PIT","WR","14.7","1","14.7"
"57","Kerryon Johnson","DET","RB","14.7","1","14.7"
"57","Ronald Jones II","TB","RB","14.7","1","14.7"
"60","Daniel Jones","NYG","QB","14.3","1","14.3"
"60","Russell Wilson","SEA","QB","14.3","1","14.3"
"62","Michael Thomas","NO","WR","14.0","1","14.0"
"62","Wil Lutz","NO","K","14.0","1","14.0"
"62","Carolina Panthers","CAR","DST","14.0","1","14.0"
"62","Devonta Freeman","FA","RB","14.0","1","14.0"
"66","Mohamed Sanu","NE","WR","13.6","1","13.6"
"67","Ezekiel Elliott","DAL","RB","13.5","1","13.5"
"67","Derek Carr","LV","QB","13.5","1","13.5"
"69","Geronimo Allison","DET","WR","13.4","1","13.4"
"69","Trevor Davis","CHI","WR","13.4","1","13.4"
"69","Sterling Shepard","NYG","WR","13.4","1","13.4"
"72","Willie Snead","BAL","WR","13.1","1","13.1"
"73","Kansas City Chiefs","KC","DST","13.0","1","13.0"
"73","Greg Zuerlein","DAL","K","13.0","1","13.0"
"73","Joey Slye","CAR","K","13.0","1","13.0"
"76","Emmanuel Sanders","NO","WR","12.9","1","12.9"
"76","Gerald Everett","LAR","TE","12.9","1","12.9"
"78","Dontrell Hilliard","CLE","RB","12.4","1","12.4"
"79","Stefon Diggs","BUF","WR","12.3","1","12.3"
"79","Chester Rogers","FA","WR","12.3","1","12.3"
"81","Chase Daniel","DET","QB","12.2","1","12.2"
"82","Travis Kelce","KC","TE","12.0","1","12.0"
"83","Josh Jacobs","LV","RB","11.8","1","11.8"
"84","Josh Allen","BUF","QB","11.7","1","11.7"
"85","Deshaun Watson","HOU","QB","11.6","1","11.6"
"86","Ryquell Armstead","JAC","RB","11.4","1","11.4"
"87","Eric Ebron","PIT","TE","11.3","1","11.3"
"87","Derrick Henry","TEN","RB","11.3","1","11.3"
"87","Alshon Jeffery","PHI","WR","11.3","1","11.3"
"90","Allen Robinson","CHI","WR","11.2","1","11.2"
"91","Tyrell Williams","LV","WR","11.1","1","11.1"
"91","Cameron Brate","TB","TE","11.1","1","11.1"
"91","Mark Andrews","BAL","TE","11.1","1","11.1"
"94","Cole Beasley","BUF","WR","11.0","1","11.0"
"94","New Orleans Saints","NO","DST","11.0","1","11.0"
"94","Austin Seibert","CLE","K","11.0","1","11.0"
"94","Harrison Butker","KC","K","11.0","1","11.0"
"94","Dallas Cowboys","DAL","DST","11.0","1","11.0"
"94","Los Angeles Chargers","LAC","DST","11.0","1","11.0"
"94","Tennessee Titans","TEN","DST","11.0","1","11.0"
"101","Frank Gore","NYJ","RB","10.9","1","10.9"
"102","Miles Boykin","BAL","WR","10.7","1","10.7"
"103","Foster Moreau","LV","TE","10.5","1","10.5"
"104","Troymaine Pope","FA","RB","10.4","1","10.4"
"104","Alvin Kamara","NO","RB","10.4","1","10.4"
"106","Josh Rosen","MIA","QB","10.2","1","10.2"
"106","Jack Doyle","IND","TE","10.2","1","10.2"
"106","T.J. Hockenson","DET","TE","10.2","1","10.2"
"109","Ito Smith","ATL","RB","10.1","1","10.1"
"109","Brandin Cooks","HOU","WR","10.1","1","10.1"
"109","Dontrelle Inman","FA","WR","10.1","1","10.1"
"109","Noah Fant","DEN","TE","10.1","1","10.1"
"113","Zach Ertz","PHI","TE","10.0","1","10.0"
"113","Houston Texans","HOU","DST","10.0","1","10.0"
"113","Chris Boswell","PIT","K","10.0","1","10.0"
"113","Las Vegas Raiders","LV","DST","10.0","1","10.0"
"113","Eddy Pineiro","CHI","K","10.0","1","10.0"
"113","Cleveland Browns","CLE","DST","10.0","1","10.0"
"119","James White","NE","RB","9.8","1","9.8"
"120","John Brown","BUF","WR","9.4","1","9.4"
"121","Marvin Jones","DET","WR","9.2","1","9.2"
"121","Zach Pascal","IND","WR","9.2","1","9.2"
"123","Dede Westbrook","JAC","WR","9.1","1","9.1"
"124","Mason Crosby","GB","K","9.0","1","9.0"
"124","Jason Myers","SEA","K","9.0","1","9.0"
"124","Washington Redskins","WAS","DST","9.0","1","9.0"
"124","Buffalo Bills","BUF","DST","9.0","1","9.0"
"128","T.J. Yeldon","BUF","RB","8.8","1","8.8"
"128","Tarik Cohen","CHI","RB","8.8","1","8.8"
"128","Darren Waller","LV","TE","8.8","1","8.8"
"128","Kenyan Drake","ARI","RB","8.8","1","8.8"
"128","Duke Johnson","HOU","RB","8.8","1","8.8"
"133","Dallas Goedert","PHI","TE","8.6","1","8.6"
"133","Dak Prescott","DAL","QB","8.6","1","8.6"
"135","Carlos Hyde","SEA","RB","8.4","1","8.4"
"135","Jarius Wright","FA","WR","8.4","1","8.4"
"137","Joe Mixon","CIN","RB","8.3","1","8.3"
"137","James O'Shaughnessy","JAC","TE","8.3","1","8.3"
"139","David Montgomery","CHI","RB","8.2","1","8.2"
"140","Chris Thompson","JAC","RB","8.0","1","8.0"
"141","Peyton Barber","WAS","RB","7.9","1","7.9"
"142","Mark Ingram II","BAL","RB","7.6","1","7.6"
"142","Javon Wims","CHI","WR","7.6","1","7.6"
"144","Nyheim Hines","IND","RB","7.5","1","7.5"
"144","Teddy Bridgewater","CAR","QB","7.5","1","7.5"
"146","Evan Engram","NYG","TE","7.4","1","7.4"
"147","Dawson Knox","BUF","TE","7.3","1","7.3"
"147","Keenan Allen","LAC","WR","7.3","1","7.3"
"147","Amari Cooper","DAL","WR","7.3","1","7.3"
"147","Kirk Cousins","MIN","QB","7.3","1","7.3"
"147","Julio Jones","ATL","WR","7.3","1","7.3"
"152","Miles Sanders","PHI","RB","7.2","1","7.2"
"152","Larry Fitzgerald","ARI","WR","7.2","1","7.2"
"152","DaeSean Hamilton","DEN","WR","7.2","1","7.2"
"155","Tyler Lockett","SEA","WR","7.1","1","7.1"
"156","Auden Tate","CIN","WR","7.0","1","7.0"
"156","Daniel Carlson","LV","K","7.0","1","7.0"
"156","Royce Freeman","DEN","RB","7.0","1","7.0"
"156","Cairo Santos","FA","K","7.0","1","7.0"
"160","Preston Williams","MIA","WR","6.6","1","6.6"
"161","Phillip Lindsay","DEN","RB","6.5","1","6.5"
"161","Jaron Brown","FA","WR","6.5","1","6.5"
"163","Blake Jarwin","DAL","TE","6.4","1","6.4"
"163","D.J. Chark","JAC","WR","6.4","1","6.4"
"163","Brandon Bolden","NE","RB","6.4","1","6.4"
"163","C.J. Prosise","FA","RB","6.4","1","6.4"
"167","Christian Kirk","ARI","WR","6.3","1","6.3"
"167","Sony Michel","NE","RB","6.3","1","6.3"
"169","Marquez Valdes-Scantling","GB","WR","6.2","1","6.2"
"170","Tyler Higbee","LAR","TE","6.1","1","6.1"
"170","Josh Gordon","FA","WR","6.1","1","6.1"
"172","Los Angeles Rams","LAR","DST","6.0","1","6.0"
"172","Aldrick Rosas","NYG","K","6.0","1","6.0"
"172","Justin Tucker","BAL","K","6.0","1","6.0"
"172","Adam Vinatieri","FA","K","6.0","1","6.0"
"172","Brandon McManus","DEN","K","6.0","1","6.0"
"177","D.J. Moore","CAR","WR","5.9","1","5.9"
"178","Marvin Hall","DET","WR","5.7","1","5.7"
"179","Seth Roberts","CAR","WR","5.6","1","5.6"
"179","DeAndre Hopkins","ARI","WR","5.6","1","5.6"
"179","Randall Cobb","HOU","WR","5.6","1","5.6"
"182","Olabisi Johnson","MIN","WR","5.5","1","5.5"
"182","Demarcus Robinson","KC","WR","5.5","1","5.5"
"184","Deon Yelder","KC","TE","5.3","1","5.3"
"185","John Ross","CIN","WR","5.1","1","5.1"
"186","Matt Bryant","FA","K","5.0","1","5.0"
"186","Philadelphia Eagles","PHI","DST","5.0","1","5.0"
"186","Jason Witten","LV","TE","5.0","1","5.0"
"186","Stephen Hauschka","BUF","K","5.0","1","5.0"
"186","Denver Broncos","DEN","DST","5.0","1","5.0"
"186","Detroit Lions","DET","DST","5.0","1","5.0"
"186","Julian Edelman","NE","WR","5.0","1","5.0"
"193","Hayden Hurst","ATL","TE","4.9","1","4.9"
"193","Sammy Watkins","KC","WR","4.9","1","4.9"
"195","O.J. Howard","TB","TE","4.8","1","4.8"
"195","Curtis Samuel","CAR","WR","4.8","1","4.8"
"195","Tyler Boyd","CIN","WR","4.8","1","4.8"
"198","Calvin Ridley","ATL","WR","4.7","1","4.7"
"198","Lance Kendricks","FA","TE","4.7","1","4.7"
"198","Tom Brady","TB","QB","4.7","1","4.7"
"201","Andy Dalton","DAL","QB","4.6","1","4.6"
"201","J.D. McKissic","WAS","RB","4.6","1","4.6"
"203","Mark Walton","FA","RB","4.4","1","4.4"
"203","Josh Hill","NO","TE","4.4","1","4.4"
"205","Marquise Brown","BAL","WR","4.2","1","4.2"
"206","Matt Barkley","BUF","QB","4.1","1","4.1"
"206","Gus Edwards","BAL","RB","4.1","1","4.1"
"208","Dion Lewis","NYG","RB","4.0","1","4.0"
"208","Logan Thomas","WAS","TE","4.0","1","4.0"
"208","Arizona Cardinals","ARI","DST","4.0","1","4.0"
"208","Jake Elliott","PHI","K","4.0","1","4.0"
"208","Brett Maher","NYJ","K","4.0","1","4.0"
"208","Ka'imi Fairbairn","HOU","K","4.0","1","4.0"
"208","Stephen Gostkowski","FA","K","4.0","1","4.0"
"208","Jason Sanders","MIA","K","4.0","1","4.0"
"208","Zane Gonzalez","ARI","K","4.0","1","4.0"
"217","Rhett Ellison","FA","TE","3.9","1","3.9"
"217","Marlon Mack","IND","RB","3.9","1","3.9"
"217","Giovani Bernard","CIN","RB","3.9","1","3.9"
"220","Nick Vannett","DEN","TE","3.8","1","3.8"
"220","Will Fuller","HOU","WR","3.8","1","3.8"
"222","Chase Edmonds","ARI","RB","3.7","1","3.7"
"222","Tyler Eifert","JAC","TE","3.7","1","3.7"
"224","Jordan Akins","HOU","TE","3.6","1","3.6"
"224","Jared Cook","NO","TE","3.6","1","3.6"
"224","Luke Willson","SEA","TE","3.6","1","3.6"
"224","Dwayne Haskins","WAS","QB","3.6","1","3.6"
"224","DeAndre Washington","KC","RB","3.6","1","3.6"
"229","Geremy Davis","DET","WR","3.5","1","3.5"
"230","Ted Ginn","CHI","WR","3.4","1","3.4"
"230","Kenny Stills","HOU","WR","3.4","1","3.4"
"232","Jordan Wilkins","IND","RB","3.3","1","3.3"
"232","Kyle Allen","WAS","QB","3.3","1","3.3"
"234","Geoff Swaim","FA","TE","3.2","1","3.2"
