"Rank","Player","Team","Position","Points","Games","Avg"
"1","New England Patriots","NE","DST","37.0","1","37.0"
"2","Demarcus Robinson","KC","WR","32.2","1","32.2"
"3","Patrick Mahomes","KC","QB","31.6","1","31.6"
"4","Lamar Jackson","BAL","QB","30.9","1","30.9"
"5","Dak Prescott","DAL","QB","28.7","1","28.7"
"6","Dalvin Cook","MIN","RB","26.6","1","26.6"
"7","Julio Jones","ATL","WR","25.1","1","25.1"
"7","Odell Beckham Jr.","CLE","WR","25.1","1","25.1"
"9","Tom Brady","TB","QB","24.7","1","24.7"
"10","Russell Wilson","SEA","QB","24.2","1","24.2"
"11","Jimmy Garoppolo","SF","QB","23.6","1","23.6"
"12","Emmanuel Sanders","NO","WR","23.3","1","23.3"
"13","Aaron Jones","GB","RB","23.0","1","23.0"
"14","Raheem Mostert","SF","RB","22.6","1","22.6"
"15","Josh Allen","BUF","QB","22.2","1","22.2"
"16","Matt Ryan","ATL","QB","22.1","1","22.1"
"16","Chris Godwin","TB","WR","22.1","1","22.1"
"18","Kenny Golladay","DET","WR","21.7","1","21.7"
"19","Mark Andrews","BAL","TE","21.2","1","21.2"
"20","Saquon Barkley","NYG","RB","21.0","1","21.0"
"21","Nelson Agholor","LV","WR","20.7","1","20.7"
"22","Calvin Ridley","ATL","WR","20.5","1","20.5"
"23","Austin Ekeler","LAC","RB","20.3","1","20.3"
"24","Travis Kelce","KC","TE","20.2","1","20.2"
"25","Andy Dalton","DAL","QB","19.6","1","19.6"
"26","Will Dissly","SEA","TE","19.5","1","19.5"
"26","Carson Wentz","PHI","QB","19.5","1","19.5"
"28","Vance McDonald","PIT","TE","19.3","1","19.3"
"29","John Ross","CIN","WR","19.2","1","19.2"
"30","Jared Goff","LAR","QB","19.1","1","19.1"
"31","Ezekiel Elliott","DAL","RB","19.0","1","19.0"
"32","Nick Chubb","CLE","RB","17.8","1","17.8"
"32","Deebo Samuel","SF","WR","17.8","1","17.8"
"34","Jacoby Brissett","IND","QB","17.3","1","17.3"
"35","Tyler Boyd","CIN","WR","17.2","1","17.2"
"36","Matthew Stafford","DET","QB","17.1","1","17.1"
"37","Joe Flacco","NYJ","QB","16.7","1","16.7"
"37","Case Keenum","CLE","QB","16.7","1","16.7"
"39","Derrick Henry","TEN","RB","16.4","1","16.4"
"39","Kyler Murray","ARI","QB","16.4","1","16.4"
"41","Gardner Minshew II","JAC","QB","16.1","1","16.1"
"42","Baker Mayfield","CLE","QB","16.0","1","16.0"
"42","Joey Slye","CAR","K","16.0","1","16.0"
"44","Le'Veon Bell","NYJ","RB","15.9","1","15.9"
"45","Kerryon Johnson","DET","RB","15.8","1","15.8"
"46","Jeff Wilson","SF","RB","15.4","1","15.4"
"46","Peyton Barber","WAS","RB","15.4","1","15.4"
"48","Frank Gore","NYJ","RB","15.3","1","15.3"
"49","Marquise Goodwin","PHI","WR","15.2","1","15.2"
"50","Cooper Kupp","LAR","WR","15.1","1","15.1"
"50","Brandin Cooks","HOU","WR","15.1","1","15.1"
"52","Eddy Pineiro","CHI","K","15.0","1","15.0"
"52","D.J. Chark","JAC","WR","15.0","1","15.0"
"54","Devin Smith","DAL","WR","14.9","1","14.9"
"55","Terry McLaurin","WAS","WR","14.7","1","14.7"
"56","Christian Kirk","ARI","WR","14.4","1","14.4"
"56","Aaron Rodgers","GB","QB","14.4","1","14.4"
"58","Todd Gurley","ATL","RB","14.2","1","14.2"
"59","Davante Adams","GB","WR","14.1","1","14.1"
"59","Mecole Hardman","KC","WR","14.1","1","14.1"
"59","Antonio Brown","FA","WR","14.1","1","14.1"
"62","Greg Olsen","SEA","TE","14.0","1","14.0"
