"Rank","Player","Team","Position","Points","Games","Avg"
"1","James White","NE","RB","33.7","1","33.7"
"2","DeVante Parker","MIA","WR","31.4","1","31.4"
"3","Deshaun Watson","HOU","QB","28.4","1","28.4"
"4","Aaron Rodgers","GB","QB","28.1","1","28.1"
"5","Ryan Fitzpatrick","MIA","QB","27.8","1","27.8"
"6","Derrius Guice","WAS","RB","26.7","1","26.7"
"7","Carson Wentz","PHI","QB","25.4","1","25.4"
"8","Tom Brady","TB","QB","25.3","1","25.3"
"9","Jared Goff","LAR","QB","25.0","1","25.0"
"10","Mitch Trubisky","CHI","QB","24.9","1","24.9"
"11","Rashaad Penny","SEA","RB","24.7","1","24.7"
"12","Kyle Allen","WAS","QB","24.3","1","24.3"
"13","Alshon Jeffery","PHI","WR","24.2","1","24.2"
"14","Kenny Golladay","DET","WR","23.8","1","23.8"
"15","Dak Prescott","DAL","QB","23.7","1","23.7"
"15","Robert Woods","LAR","WR","23.7","1","23.7"
"17","Josh Allen","BUF","QB","23.5","1","23.5"
"18","Tampa Bay Buccaneers","TB","DST","23.0","1","23.0"
"19","Raheem Mostert","SF","RB","22.4","1","22.4"
"20","Lamar Jackson","BAL","QB","22.3","1","22.3"
"21","Derrick Henry","TEN","RB","22.1","1","22.1"
"22","Tennessee Titans","TEN","DST","22.0","1","22.0"
"23","Davante Adams","GB","WR","21.4","1","21.4"
"23","Courtland Sutton","DEN","WR","21.4","1","21.4"
"25","Tyler Higbee","LAR","TE","20.2","1","20.2"
"26","Cole Beasley","BUF","WR","20.0","1","20.0"
"27","Patrick Mahomes","KC","QB","19.5","1","19.5"
"28","James Washington","PIT","WR","19.1","1","19.1"
"29","Miles Sanders","PHI","RB","19.0","1","19.0"
"30","Julian Edelman","NE","WR","18.9","1","18.9"
"31","Allen Robinson","CHI","WR","18.6","1","18.6"
"31","Matt Ryan","ATL","QB","18.6","1","18.6"
"33","Anthony Miller","CHI","WR","18.5","1","18.5"
"34","Peyton Barber","WAS","RB","18.4","1","18.4"
"35","David Blough","DET","QB","18.3","1","18.3"
"36","Los Angeles Rams","LAR","DST","18.0","1","18.0"
"36","Todd Gurley","ATL","RB","18.0","1","18.0"
"36","Kansas City Chiefs","KC","DST","18.0","1","18.0"
"36","Kirk Cousins","MIN","QB","18.0","1","18.0"
"40","Russell Wilson","SEA","QB","17.9","1","17.9"
"41","Allen Lazard","GB","WR","17.8","1","17.8"
"42","Philip Rivers","IND","QB","17.6","1","17.6"
"42","Devin Singletary","BUF","RB","17.6","1","17.6"
"44","Taysom Hill","NO","QB","17.5","1","17.5"
"44","Duke Johnson","HOU","RB","17.5","1","17.5"
"46","Chris Carson","SEA","RB","17.4","1","17.4"
"47","Ezekiel Elliott","DAL","RB","17.2","1","17.2"
"48","Wil Lutz","NO","K","17.0","1","17.0"
"49","Dede Westbrook","JAC","WR","16.5","1","16.5"
"50","Mike Gesicki","MIA","TE","16.4","1","16.4"
"51","Jack Doyle","IND","TE","16.3","1","16.3"
"52","D.J. Moore","CAR","WR","16.2","1","16.2"
"53","New Orleans Saints","NO","DST","16.0","1","16.0"
"54","Adrian Peterson","WAS","RB","15.9","1","15.9"
"55","Keenan Allen","LAC","WR","15.8","1","15.8"
"56","David Montgomery","CHI","RB","15.7","1","15.7"
"57","Cooper Kupp","LAR","WR","15.5","1","15.5"
"58","Jason Witten","LV","TE","15.2","1","15.2"
"59","Kareem Hunt","CLE","RB","15.0","1","15.0"
"59","Brandon McManus","DEN","K","15.0","1","15.0"
"59","Joe Mixon","CIN","RB","15.0","1","15.0"
"62","Patrick Laird","MIA","RB","14.8","1","14.8"
"63","Austin Ekeler","LAC","RB","14.7","1","14.7"
"63","Jacoby Brissett","IND","QB","14.7","1","14.7"
"65","Curtis Samuel","CAR","WR","14.5","1","14.5"
"66","Zach Pascal","IND","WR","14.4","1","14.4"
"66","Tyler Boyd","CIN","WR","14.4","1","14.4"
"68","Kyler Murray","ARI","QB","14.3","1","14.3"
"69","Mike Williams","LAC","WR","14.2","1","14.2"
"70","Drew Lock","DEN","QB","13.9","1","13.9"
"71","Ryan Tannehill","TEN","QB","13.8","1","13.8"
"72","Russell Gage","ATL","WR","13.7","1","13.7"
"72","Christian McCaffrey","CAR","RB","13.7","1","13.7"
"74","Robby Anderson","CAR","WR","13.6","1","13.6"
"74","Jason Sanders","MIA","K","13.6","1","13.6"
"74","Kenny Stills","HOU","WR","13.6","1","13.6"
"74","Leonard Fournette","JAC","RB","13.6","1","13.6"
"78","Darren Waller","LV","TE","13.5","1","13.5"
"78","David Moore","SEA","WR","13.5","1","13.5"
"80","Andy Dalton","DAL","QB","13.3","1","13.3"
"81","Benny Snell Jr.","PIT","RB","13.2","1","13.2"
"82","DeAndre Hopkins","ARI","WR","13.1","1","13.1"
"82","Calvin Ridley","ATL","WR","13.1","1","13.1"
"82","Deebo Samuel","SF","WR","13.1","1","13.1"
"85","Kyle Rudolph","MIN","TE","13.0","1","13.0"
"85","Pittsburgh Steelers","PIT","DST","13.0","1","13.0"
"85","Jake Elliott","PHI","K","13.0","1","13.0"
"85","Jason Myers","SEA","K","13.0","1","13.0"
"85","Cincinnati Bengals","CIN","DST","13.0","1","13.0"
"85","Saquon Barkley","NYG","RB","13.0","1","13.0"
"91","Mark Andrews","BAL","TE","12.5","1","12.5"
"91","Amari Cooper","DAL","WR","12.5","1","12.5"
"93","Laquon Treadwell","ATL","WR","12.3","1","12.3"
"94","Jaeden Graham","ATL","TE","12.1","1","12.1"
"95","Melvin Gordon","DEN","RB","12.0","1","12.0"
"95","Dustin Hopkins","WAS","K","12.0","1","12.0"
"97","Dalvin Cook","MIN","RB","11.9","1","11.9"
"98","Devlin Hodges","PIT","QB","11.7","1","11.7"
"98","Gardner Minshew II","JAC","QB","11.7","1","11.7"
"100","Derek Carr","LV","QB","11.6","1","11.6"
"101","Travis Kelce","KC","TE","11.5","1","11.5"
"101","Marvin Jones","DET","WR","11.5","1","11.5"
"101","Sterling Shepard","NYG","WR","11.5","1","11.5"
"104","Drew Brees","NO","QB","11.3","1","11.3"
"105","Breshad Perriman","NYJ","WR","11.2","1","11.2"
